NO;TGL SJ;NOPOL;NO BSTK;NAMA DEALER;KOTA;RANGE;HARGA @;QTY REG;QTY PCX;JUMLAH (RP);SUBSIDI;TOT SUBS;TOT QTY;NAMA EKSPEDISI;JENIS TRUK;KET1;KET2;KET3;CEK TARIF;CEK PERKALIAN;CEK NOPOL;CEK KODE DEALER;KET EROR;;? RINGKASAN PENGECEKAN;
;;;;;;;;;;;;;;;;;;;;;;;;;No. Invoice;276/PT-TM/H/V/2026
;;PT TUNAS MUDA;;;;;;;;;;;;;;;;;;;;;;;Tanggal;30 May 2026
;;Jl. Raya Pegangsaan Dua No. 88 B;;;;;;;;;;;;;;;;;;;;;;;Customer;PT ASTRA INTERNATIONAL Tbk - HSO Yogyakarta
;;Jakarta Utara 14250;;;;;;;;;;;;;;;;;;;;;;;Alamat Baris 1;Jl. Raya Magelang KM. 7,2 Yogyakarta 55285
;;Tlp. (021) 4618826;;;;;;;;;;;;;;;;;;;;;;;Alamat Baris 2;
;;;;;;;;;;;;;;;;;;;;;;;;;Alamat Baris 3;
;;;;;;;;;;;;;;;;;;;;;;;;;Up;U.P. Bapak Enjang
INVOICE;;;;;;;;;;;;;;;;;;;;;;;;;Kota Terdeteksi;YOGYAKARTA
Kepada Yth :;;;;;;;;;;;;;;;;;;;;;;;;;Format Invoice;276/PT-TM/H/V/2026
PT ASTRA INTERNATIONAL Tbk - HSO Yogyakarta;;;;;;;;;;;;No.;276/PT-TM/H/V/2026;;;;;;;;;;;;Cek Romawi;
Jl. Raya Magelang KM. 7,2 Yogyakarta 55285;;;;;;;;;;;;Tanggal;46172;;;;;;;;;;;;Cek No.Urut;
;;;;;;;;;;;;;;;;;;;;;;;;;Cek Bulan SJ;
U.P. Bapak Enjang;;;;;;;;;;;;;;;;;;;;;;;;;Dicek pada;11 Jun 2026 14:15
;;;;;;;;;;;;;;;;;;;;;;;;;Cek Terbilang;
;;;;;;;;;;;;;;;;;;;;;;;;;Cek Keterangan;
No.;TGL SJ;NOPOL;NO BSTK;NAMA DEALER;KOTA;RANGE;HARGA;QTY REGULER;QTY PCX/CBR;JUMLAH (RP);SUBSIDI LIFT;TOTAL SUBSIDI;TOTAL QTY;NAMA EKSPEDISI;KET;;;;;;;;;;;
1;18-May-26;B 9881 UVY;3071329188;HSO KALIURANG;YOGYAKARTA;RANGE 1;19300;21;;405300;18000;378000;21;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;??????????????????;
2;18-May-26;B 9014 UVZ;3064069760;CV UTAMA MOTOR SENTOSA;YOGYAKARTA;RANGE 1;19300;21;1;443900;18000;396000;22;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;REKAP GRAND TOTAL;
3;18-May-26;B 9963 UIO;3064069756;PT DAYA ANUGRAH M;SLEMAN;RANGE 1;19300;4;1;115800;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Total Unit REG;1,279
4;19-May-26;B 9963 UIO;3064070390;CV CAHAYA BA ;MUNTILAN;RANGE 1;19300;5;;96500;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Total Unit PCX/CBR;192
;19-May-26;B 9963 UIO;3071329489;HSO JOMBOR;YOGYAKARTA;RANGE 1;19300;6;;115800;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Total QTY;1,471
5;20-May-26;B 9960 UIO;3064070830;PT ARMADA TUNAS JAYA;MUNTILAN;RANGE 1;19300;1;;19300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Total Jumlah (Rp);57,799,400
6;20-May-26;B 9967 UIO;3064070785;PT NAGAMAS;SLEMAN;RANGE 1;19300;2;1;77200;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Total Subsidi (Rp);26,478,000
;20-May-26;B 9967 UIO;3064070787;PT DAYA ANUGRAH M;SLEMAN;RANGE 1;19300;1;1;57900;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;20-May-26;B 9967 UIO;3071329754;HSO BANTUL;YOGYAKARTA;RANGE 1;19300;2;2;115800;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;??????????????????;
7;21-May-26;B 9922 UIO;3064071397;CV CAHAYA BA ;MUNTILAN;RANGE 1;19300;2;;38600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;HASIL CEK KESELURUHAN;
8;22-May-26;B 9923 UIO;3071330263;HSO JOMBOR;YOGYAKARTA;RANGE 1;19300;6;2;193000;18000;144000;8;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Total Baris Data;321
;22-May-26;B 9923 UIO;3064071753;CV CAHAYA BA ;MUNTILAN;RANGE 1;19300;2;;38600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Baris OK ?;321
9;23-May-26;B 9967 UIO;3064072175;PT NAGAMAS;SLEMAN;RANGE 1;19300;6;;115800;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Baris Error ?;0
;23-May-26;B 9967 UIO;3064072190;PT DAYA ANUGRAH M;SLEMAN;RANGE 1;19300;3;;57900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Persentase OK;100.0%
10;25-May-26;B 9922 UIO;3064072649;PT ARMADA TUNAS JAYA;MUNTILAN;RANGE 1;19300;6;1;154400;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;25-May-26;B 9922 UIO;3064072651;CV CAHAYA BA ;MUNTILAN;RANGE 1;19300;5;;96500;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;??????????????????;
11;25-May-26;B 9005 UVZ;3064072492;CV CAHAYA  ;YOGYAKARTA;RANGE 1;19300;1;;19300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;TARIF REFERENSI (YGY);
12;26-May-26;B 9967 UIO;3064072966;CV CENDANA MAKMUR;BANTUL;RANGE 1;19300;6;3;231600;18000;162000;9;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;RANGE 1;Rp 19,300.0 | PCX Rp 38,600.0 | Sub Rp 18,000.0
;26-May-26;B 9967 UIO;3064072985;CV CAHAYA;YOGYAKARTA;RANGE 1;19300;3;;57900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;RANGE 2;Rp 26,800.0 | PCX Rp 53,600.0 | Sub Rp 18,000.0
;26-May-26;B 9967 UIO;3071330907;HSO BANTUL 2;BANTUL;RANGE 1;19300;7;3;250900;18000;180000;10;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;RANGE 3;Rp 42,300.0 | PCX Rp 84,600.0 | Sub Rp 18,000.0
13;26-May-26;B 9966 UIO;3064072989;PT NUSANTARA SAKTI;YOGYAKARTA;RANGE 1;19300;3;3;173700;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;RANGE 4;Rp 47,300.0 | PCX Rp 94,600.0 | Sub Rp 18,000.0
14;29-May-26;B 9881 UVY;3071331421;HSO JOMBOR;YOGYAKARTA;RANGE 1;19300;19;2;443900;18000;378000;21;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
15;29-May-26;B 9963 UIO;3071331420;HSO JOMBOR;YOGYAKARTA;RANGE 1;19300;20;1;424600;18000;378000;21;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
16;29-May-26;B 9966 UIO;3064073939;CV UTAMA MOTOR SENTOSA;YOGYAKARTA;RANGE 1;19300;21;;405300;18000;378000;21;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
17;29-May-26;B 9910 UIO;3071331459;HSO BANTUL 1;BANTUL;RANGE 1;19300;22;;424600;18000;396000;22;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
18;29-May-26;B 9923 UIO;3064073989;PT SUMBER PS;SLEMAN;RANGE 1;19300;7;;135100;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;29-May-26;B 9923 UIO;3064073990;PT TUNAS DWIPA;SLEMAN;RANGE 1;19300;7;;135100;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;29-May-26;B 9923 UIO;3064073992;PT DAYA ANUGRAH M;SLEMAN;RANGE 1;19300;8;;154400;18000;144000;8;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
19;29-May-26;B 9963 UIO;3064074085;ABC KALASAN;YOGYAKARTA;RANGE 1;19300;4;;77200;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;TOTAL;;;;;221;21;5075900;;4356000;242;;;;;;;;;;;;;
Perincian Range 1:;;;;;;;;? OK;? OK;? OK;;? OK;? OK;;;;;;;;;;;;;
TYPE;;UNIT;TARIF;JUMLAH;;;;;;;;;;;;;;;;;;;;;;
REG;;221;19300;4265300;;;;;;;;;;;;;;;? OK;? OK;0;0;;;;
PCX/CBR;;21;38600;810600;;;;;;;;;;;;;;;? OK;? OK;0;0;;;;
SUBSIDI;;242;18000;4356000;;;;;;;;;;;;;;;? OK;? OK;0;0;;;;
;;;TOTAL;9431900;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
1;46158;B 9923 UIO;3064069408;PT TUNGGUL;TEMANGGUNG;RANGE 2;26800;2;;53600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
2;;B 9960 UIO;3064069399;CV PANDEAN BM;KULONPROGO;RANGE 2;26800;2;;53600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064069425;PT NUSANTARA SAKTI;PURWOREJO;RANGE 2;26800;8;1;268000;18000;162000;9;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064069431;CV PANDEAN BM;PURWOREJO;RANGE 2;26800;4;;107200;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071328997;HSO WATES;KULONPROGO;RANGE 2;26800;5;1;187600;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
3;;B 9922 UIO;3064069430;PT ARMADA TUNAS JAYA;TEMANGGUNG;RANGE 2;26800;3;;80400;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064069415;PT ARMADA TUNAS JAYA;MAGELANG;RANGE 2;26800;7;;187600;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064069417;PT NUSANTARA SAKTI;MAGELANG;RANGE 2;26800;6;;160800;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071329006;HSO;MAGELANG;RANGE 2;26800;5;;134000;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
4;46160;B 9910 UIO;3064069845;PT NUSANTARA SAKTI;MAGELANG;RANGE 2;26800;17;3;616400;18000;360000;20;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071329238;HSO;MAGELANG;RANGE 2;26800;2;;53600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
5;;B 9908 UIO;3071329218;HSO WATES;KULONPROGO;RANGE 2;26800;8;3;375200;18000;198000;11;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
6;;B 9963 UIO;3064069854;CV CENDANA PS;PURWOREJO;RANGE 2;26800;12;;321600;18000;216000;12;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064069785;CV PANDEAN BM;KULONPROGO;RANGE 2;26800;5;;134000;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
7;;B 9881 UVY;3064069824;CV CENDANA MULIA;TEMANGGUNG;RANGE 2;26800;13;1;402000;18000;252000;14;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064069829;PT TUNGGUL;TEMANGGUNG;RANGE 2;26800;3;;80400;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064069843;PT ARMADA TUNAS JAYA;TEMANGGUNG;RANGE 2;26800;2;;53600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071329240;HSO;MAGELANG 2;RANGE 2;26800;2;1;107200;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
8;46161;B 9915 UVY;3071329536;HSO;PURWOREJO;RANGE 2;26800;5;2;241200;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064070399;CV PANDEAN BM;PURWOREJO;RANGE 2;26800;3;;80400;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
9;;B 9910 UIO;3064070418;CV CENDANA MULIA;TEMANGGUNG;RANGE 2;26800;3;;80400;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
10;;B 9963 UIO;3064070388;PT ARMADA TUNAS JAYA;MAGELANG;RANGE 2;26800;4;;107200;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071329531;HSO;MAGELANG;RANGE 2;26800;5;;134000;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071329532;HSO;MAGELANG 2;RANGE 2;26800;3;;80400;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
11;46162;B 9960 UIO;3071329772;HSO;MAGELANG 2;RANGE 2;26800;7;1;241200;18000;144000;8;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
12;;B 9967 UIO;3064070833;PT NUSANTARA SAKTI;PURWOREJO;RANGE 2;26800;3;2;187600;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064070791;CV PANDEAN BM;KULONPROGO;RANGE 2;26800;1;;26800;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064070793;CV SHINTA MOTOR;KULONPROGO;RANGE 2;26800;1;1;80400;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071329773;HSO;PURWOREJO;RANGE 2;26800;3;1;134000;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
13;;B 9881 UVY;3064070816;CV CENDANA PS;PURWOREJO;RANGE 2;26800;1;3;187600;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
14;46163;B 9908 UIO;3064071409;PT NUSANTARA SAKTI;PURWOREJO;RANGE 2;26800;1;;26800;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064071421;CV SHINTA MOTOR;KULONPROGO;RANGE 2;26800;3;;80400;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071330071;HSO;PURWOREJO;RANGE 2;26800;2;;53600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071330077;HSO;KULONPROGO;RANGE 2;26800;2;;53600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
15;;B 9922 UIO;3064071392;PT ARMADA TUNAS JAYA;MAGELANG;RANGE 2;26800;;1;53600;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064071395;PT NUSANTARA SAKTI;MAGELANG;RANGE 2;26800;1;1;80400;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064071403;CV CENDANA MULIA;TEMANGGUNG;RANGE 2;26800;1;;26800;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071330058;HSO;MAGELANG;RANGE 2;26800;7;;187600;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071330060;HSO;MAGELANG 2;RANGE 2;26800;3;2;187600;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
16;46164;B 9923 UIO;3071330284;HSO;MAGELANG;RANGE 2;26800;4;;107200;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071330285;HSO;MAGELANG 2;RANGE 2;26800;5;;134000;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064071774;PT NUSANTARA SAKTI;MAGELANG;RANGE 2;26800;2;;53600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064071772;PT ARMADA TUNAS JAYA;MAGELANG;RANGE 2;26800;1;;26800;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
17;;B 9966 UIO;3064071773;PT ARMADA TUNAS JAYA;TEMANGGUNG;RANGE 2;26800;1;;26800;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064071775;CV CENDANA MULIA;TEMANGGUNG;RANGE 2;26800;7;;187600;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
18;;B 9910 UIO;3064071779;CV CENDANA PS;PURWOREJO;RANGE 2;26800;1;2;134000;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
19;46165;B 9005 UVZ;3064072290;CV CENDANA MULIA;TEMANGGUNG;RANGE 2;26800;2;;53600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064072297;PT ARMADA TUNAS JAYA;TEMANGGUNG;RANGE 2;26800;1;;26800;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064072295;PT TUNGGUL;TEMANGGUNG;RANGE 2;26800;1;;26800;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071330568;HSO;MAGELANG;RANGE 2;26800;4;;107200;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071330570;HSO;MAGELANG 2;RANGE 2;26800;9;;241200;18000;162000;9;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
20;;B 9967 UIO;3064072275;CV SHINTA MOTOR;KULONPROGO;RANGE 2;26800;2;;53600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064072285;CV CENDANA PS;PURWOREJO;RANGE 2;26800;4;;107200;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071330511;HSO WATES;KULONPROGO;RANGE 2;26800;3;;80400;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071330566;HSO;PURWOREJO;RANGE 2;26800;1;;26800;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
21;46167;B 9014 UVZ;3071330768;HSO;MAGELANG;RANGE 2;26800;7;;187600;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
22;;B 9967 UIO;3064072518;CV PANDEAN BM;KULONPROGO;RANGE 2;26800;6;;160800;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064072523;CV SHINTA MOTOR;KULONPROGO;RANGE 2;26800;4;2;214400;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071330696;HSO WATES;KULONPROGO;RANGE 2;26800;11;;294800;18000;198000;11;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
23;;B 9963 UIO;3064072648;PT ARMADA TUNAS JAYA;MAGELANG;RANGE 2;26800;6;;160800;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064072653;PT ARMADA TUNAS JAYA;TEMANGGUNG;RANGE 2;26800;2;;53600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064072655;PT TUNGGUL;TEMANGGUNG;RANGE 2;26800;1;;26800;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064072659;CV CENDANA MULIA;TEMANGGUNG;RANGE 2;26800;6;;160800;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
24;;B 9922 UIO;3071330767;HSO;MAGELANG;RANGE 2;26800;11;;294800;18000;198000;11;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
25;;B 9966 UIO;3064072664;PT NUSANTARA SAKTI;PURWOREJO;RANGE 2;26800;9;;241200;18000;162000;9;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
